customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,ratio_atraso_entrega,custo_por_item,intensidade_problema,entrega_no_prazo,score_logistica,cliente_longa_data,pct_desconto
63,14,139.73,4,39.35,4,2,2,55.53,3,0,4,3,0.6666666666666666,48.815,0,0,-7,0,27.961344418389828
20,1,458.95,2,9.51,10,6,4,28.23,3,0,10,3,0.5714285714285714,243.59,0,0,-11,0,2.067616045222307
46,111,507.06,5,42.82,6,6,1,40.99,1,4,5,7,0.14285714285714285,109.60999999999999,160,0,-3,1,8.42813840884935
52,117,302.19,2,19.58,9,5,2,35.24,3,1,11,4,0.3333333333333333,168.715,55,0,-7,1,6.457996635772948
56,50,253.06,1,29.37,11,13,1,39.32,1,1,0,3,0.07142857142857142,292.38,0,0,-3,0,11.560261355585295
35,75,568.76,6,36.58,3,4,5,41.82,2,2,3,5,1.0,101.76333333333334,36,0,-12,1,6.420247121595057
37,68,41.29,3,99.62,6,8,3,35.83,3,3,4,6,0.3333333333333333,25.706666666666667,84,0,-9,1,235.56396311184676
60,37,428.76,4,29.54,10,11,5,44.5,1,0,2,2,0.4166666666666667,118.315,0,0,-11,0,6.873603871928519
40,60,121.56,3,91.95,6,6,3,24.88,2,1,9,3,0.42857142857142855,48.81333333333333,36,0,-8,0,75.02447780678851
51,70,411.01,6,37.47,3,9,2,30.59,1,0,7,2,0.2,73.6,0,0,-5,1,9.094439455353024
50,28,616.17,2,23.0,8,4,2,52.94,3,0,7,6,0.4,334.55499999999995,0,0,-7,0,3.726687946594941
67,81,509.48,2,10.42,1,11,1,46.92,2,1,3,2,0.08333333333333333,278.2,9,0,-4,1,2.041216110327535
65,85,588.28,6,12.54,5,11,2,28.67,2,1,9,4,0.16666666666666666,102.82499999999999,45,0,-6,1,2.128020635351615
27,42,165.19,5,52.82,5,10,1,63.92,3,0,8,2,0.09090909090909091,45.822,0,0,-5,0,31.782899091401408
50,113,220.81,3,30.73,6,7,3,45.96,1,1,4,3,0.375,88.92333333333333,16,0,-7,1,13.854199540146972
64,114,732.83,2,13.24,8,9,3,46.78,2,1,8,2,0.3,389.805,24,0,-8,1,1.8042325879290844
50,70,391.66,4,0.25,11,3,2,59.78,2,1,6,4,0.5,112.86000000000001,30,0,-6,1,0.06366831355371058
65,21,483.04,1,28.08,1,12,3,44.76,2,1,10,4,0.23076923076923078,527.8000000000001,50,0,-8,0,5.801173456739112
43,86,383.98,3,33.61,11,3,4,25.24,2,2,3,4,1.0,136.40666666666667,30,0,-10,1,8.730323653176788
37,74,288.93,2,20.8,9,9,2,62.02,1,1,3,4,0.2,175.475,15,0,-5,1,7.174145483392542
32,105,390.01,2,84.53,8,9,2,35.9,2,1,6,4,0.2,212.95499999999998,30,0,-6,1,21.61837293163858
54,68,480.03,3,14.53,1,4,4,47.91,1,3,8,5,0.8,175.98,144,0,-9,1,3.0206016256782324
50,81,578.34,3,28.67,5,2,0,38.37,1,0,2,0,0.0,205.57000000000002,0,1,4,1,4.948734767148824
34,119,489.49,6,8.44,3,3,3,24.72,2,2,2,4,0.75,85.70166666666667,20,0,-8,1,1.7207282513404962
22,20,184.64,5,70.89,3,13,1,37.85,2,2,10,4,0.07142857142857142,44.498,100,0,-4,0,38.18681318681319
67,79,100.97,2,31.04,7,6,2,33.59,2,2,0,4,0.2857142857142857,67.28,0,0,-6,1,30.44032558595665
21,26,411.6,5,4.05,1,7,2,28.95,3,2,0,4,0.25,88.11,0,0,-7,0,0.981580222976248
20,101,751.24,4,34.33,5,10,4,41.19,3,0,6,4,0.36363636363636365,198.10750000000002,0,0,-11,1,4.563703073487185
38,119,522.15,3,79.0,3,13,5,29.29,2,1,9,3,0.35714285714285715,183.8133333333333,36,0,-12,1,15.100831501481412
57,86,337.52,2,0.11,2,13,2,35.95,3,1,2,3,0.14285714285714285,186.73499999999999,8,0,-7,1,0.03249438733309701
20,39,478.48,2,1.91,5,13,1,19.27,3,2,1,5,0.07142857142857142,248.875,12,0,-5,0,0.39834821056144154
38,71,479.29,3,16.0,6,14,1,45.69,3,0,10,3,0.06666666666666667,174.99333333333334,0,0,-5,1,3.3313206604343204
65,57,385.12,1,5.05,6,13,4,43.54,2,2,5,4,0.2857142857142857,428.66,50,0,-10,0,1.3078835595151765
66,41,366.75,6,12.65,6,10,3,38.42,1,1,7,3,0.2727272727272727,67.52833333333334,28,0,-7,0,3.4398368456832085
25,16,366.75,4,65.08,8,11,1,22.0,3,2,0,3,0.08333333333333333,97.1875,0,0,-5,0,17.6968048946295
59,106,348.26,4,4.9,6,14,1,31.64,1,2,1,3,0.06666666666666667,94.975,8,0,-3,1,1.4029662715455535
53,23,557.8,4,0.31,9,8,5,44.25,1,3,10,5,0.5555555555555556,150.5125,180,0,-11,0,0.05547602004294919
46,3,1120.9,4,57.57,5,13,2,40.75,2,4,0,6,0.14285714285714285,290.4125,0,0,-6,0,5.131473393350565
56,119,448.04,3,21.23,8,11,1,28.03,3,2,8,5,0.08333333333333333,158.69000000000003,96,0,-5,1,4.72786388740424
51,5,109.66,6,5.88,6,14,1,33.27,3,0,11,3,0.06666666666666667,23.82166666666667,0,0,-5,0,5.313573106813664
39,73,485.01,6,9.19,11,6,3,53.99,3,0,8,2,0.42857142857142855,89.83333333333333,0,0,-9,1,1.8909075944939406
48,15,117.97,2,28.35,5,2,3,28.02,2,2,11,6,1.0,72.995,154,0,-8,0,23.82953685803144
45,26,279.65,4,15.44,6,5,2,52.15,3,0,4,3,0.3333333333333333,82.94999999999999,0,0,-7,0,5.501514341706752
52,14,477.19,4,15.71,3,4,0,53.94,3,1,2,4,0.0,132.7825,10,1,2,0,3.2853050042869993
51,42,144.56,1,15.57,11,14,2,46.54,3,1,3,3,0.13333333333333333,191.1,12,0,-7,0,10.696619950535862
30,114,349.17,3,12.78,11,12,1,28.64,2,1,7,4,0.07692307692307693,125.93666666666667,35,0,-4,1,3.6496558814290196
58,33,461.42,3,27.91,3,4,6,45.25,2,1,0,5,1.2,168.89000000000001,0,0,-14,0,6.035638596946499
21,26,431.62,5,15.21,1,9,3,45.21,2,3,5,6,0.3,95.366,105,0,-8,0,3.5157875271600942
60,67,663.31,6,37.22,10,6,4,45.09,1,2,9,6,0.5714285714285714,118.06666666666666,126,0,-9,1,5.602805918923394
23,20,370.76,6,15.12,2,10,1,28.55,3,1,8,2,0.09090909090909091,66.55166666666666,24,0,-5,0,4.0671400903808905
18,19,375.57,5,13.63,11,8,4,56.09,1,1,4,5,0.4444444444444444,86.332,24,0,-9,0,3.6195129723557375
29,39,711.22,6,4.92,2,2,1,28.2,1,3,2,6,0.3333333333333333,123.23666666666668,42,0,-3,0,0.690797787200584
52,49,1220.13,4,8.98,8,2,1,47.14,1,1,2,3,0.3333333333333333,316.81750000000005,8,0,-3,0,0.7353844390032183
28,69,329.96,1,37.51,8,4,1,41.91,3,2,4,5,0.2,371.87,48,0,-5,1,11.33369591491419
40,95,398.94,2,5.22,7,2,2,67.63,3,0,1,3,0.6666666666666666,233.285,0,0,-7,1,1.3051957793669051
31,20,409.54,6,0.82,4,8,3,45.69,3,1,6,5,0.3333333333333333,75.87166666666667,36,0,-9,0,0.1997369318458615
36,109,285.91,4,82.01,3,5,1,34.0,1,7,9,11,0.16666666666666666,79.9775,756,0,-3,1,28.58387647694399
54,101,86.15,2,112.42,11,10,3,36.23,3,1,0,2,0.2727272727272727,61.19,0,0,-9,1,128.99598393574297
33,108,385.42,5,13.86,2,2,3,52.49,2,3,2,5,1.0,87.58200000000001,36,0,-8,1,3.586770871072926
61,21,1014.41,4,16.82,11,11,5,31.57,2,1,1,3,0.4166666666666667,261.495,4,0,-12,0,1.6564737396716596
45,116,182.12,6,0.19,5,8,2,45.9,2,3,0,5,0.2222222222222222,38.00333333333334,0,0,-6,1,0.1037570991699432
62,81,42.28,1,39.12,9,3,4,47.8,3,1,11,5,1.0,90.08,66,0,-11,1,90.38817005545286
48,9,785.3,6,3.17,10,12,1,39.0,2,1,8,6,0.07692307692307693,137.38333333333333,56,0,-4,0,0.40315401246343635
24,83,332.99,1,8.77,8,12,1,47.3,2,1,10,2,0.07692307692307693,380.29,30,0,-4,1,2.625827120572472
63,64,522.84,2,76.14,3,3,3,19.72,1,3,7,6,0.75,271.28000000000003,147,0,-7,1,14.534972510690286
69,53,198.64,2,24.32,5,3,3,57.25,2,3,5,8,0.75,127.945,135,0,-8,0,12.181927469445002
44,100,335.96,4,12.24,1,7,2,37.07,3,2,9,5,0.25,93.2575,108,0,-7,1,3.632478632478633
34,109,745.08,5,73.34,9,5,4,29.76,3,4,3,7,0.6666666666666666,154.96800000000002,96,0,-11,1,9.830045035384945
24,45,1402.67,1,43.56,9,8,4,51.51,2,5,3,9,0.4444444444444444,1454.18,150,0,-10,0,3.1032935091581355
32,82,639.53,4,66.26,3,3,2,35.79,3,3,11,8,0.5,168.82999999999998,297,0,-7,1,10.344558412564595
57,95,383.08,1,1.36,5,2,1,31.84,1,0,5,2,0.3333333333333333,414.91999999999996,0,0,-3,1,0.3540928973130598
29,80,212.03,1,66.52,6,2,6,42.64,1,1,3,4,2.0,254.67000000000002,15,0,-13,1,31.22564896962869
25,81,816.27,1,73.96,1,8,1,58.35,1,1,4,4,0.1111111111111111,874.62,20,0,-3,1,9.049640877555765
19,25,66.18,4,4.5,4,7,2,46.54,2,1,10,3,0.25,28.18,40,0,-6,0,6.69842214944924
61,24,463.79,3,2.08,5,10,1,35.79,3,2,8,6,0.09090909090909091,166.52666666666667,112,0,-5,0,0.4475139310226124
