model,fold,f1_macro,f1_weighted,precision_macro,recall_macro,n_train,n_val
Gradient Boosting,1,0.5175930462554666,0.7598421253198323,0.5551563497464955,0.4995745745745746,2000,500
Gradient Boosting,2,0.5987826702840685,0.768432875611079,0.7299094782761367,0.5484484484484485,2000,500
Gradient Boosting,3,0.54175897689855,0.7446096906195429,0.5804270563414186,0.5218968968968969,2000,500
Gradient Boosting,4,0.5349259568486563,0.7652234308081701,0.6115198810850985,0.5094271480056937,2000,500
Gradient Boosting,5,0.570194607623479,0.7611895168468286,0.627245216813562,0.5412345477842875,2000,500
Logistic Regression,1,0.5374598611990679,0.7162266640880082,0.5214921455231533,0.6087587587587587,2000,500
Logistic Regression,2,0.6186833401551612,0.7550919535362944,0.5876483843848872,0.6937437437437438,2000,500
Logistic Regression,3,0.5165502422995932,0.704909685546929,0.5048249241797629,0.5819819819819819,2000,500
Logistic Regression,4,0.5095629267771696,0.6984836050908817,0.4995308847053033,0.572831046771051,2000,500
Logistic Regression,5,0.5328553209303232,0.7135335319372645,0.5168012600520722,0.5846720933045954,2000,500
Random Forest,1,0.5523375589774017,0.7360942183604425,0.536169781254527,0.5842592592592593,2000,500
Random Forest,2,0.62848682164387,0.7757660254501421,0.6135599689163002,0.6476476476476476,2000,500
Random Forest,3,0.5399865688979236,0.7195047190358645,0.5239064856711916,0.5665915915915916,2000,500
Random Forest,4,0.5208982003856316,0.7205632275226737,0.5084714584714585,0.5442429611233937,2000,500
Random Forest,5,0.5608524898081151,0.7415573413587756,0.5476787614270514,0.5799599544735198,2000,500
