threshold,fp,fn,tp,tn,precision,recall,f1,custo_total
0.02,649,0,1851,0,0.7404,1.0,0.8508388876120432,19470.0
0.03,649,0,1851,0,0.7404,1.0,0.8508388876120432,19470.0
0.04,649,0,1851,0,0.7404,1.0,0.8508388876120432,19470.0
0.05,648,0,1851,1,0.7406962785114045,1.0,0.8510344827586207,19440.0
0.06,645,0,1851,4,0.7415865384615384,1.0,0.8516218081435473,19350.0
0.07,643,2,1849,6,0.7419743178170144,0.9989195029713668,0.8514851485148515,19535.0
0.08,634,4,1847,15,0.7444578798871423,0.9978390059427337,0.8527239150507848,19510.0
0.09,624,6,1845,25,0.74726609963548,0.9967585089141004,0.8541666666666666,19455.0
0.1,615,8,1843,34,0.7497965825874695,0.9956780118854673,0.8554188906938965,19430.0
0.11,599,10,1841,50,0.7545081967213115,0.9945975148568341,0.8580750407830342,19195.0
0.12,590,13,1838,59,0.757001647446458,0.9929767693138843,0.8590792241177845,19292.5
0.13,574,14,1837,75,0.7619245126503525,0.9924365207995678,0.8620366025340216,18935.0
0.14,559,18,1833,90,0.7663043478260869,0.9902755267423015,0.8640113127504124,18975.0
0.15,541,20,1831,108,0.7719224283305227,0.9891950297136682,0.8671560502012787,18680.0
0.16,524,23,1828,125,0.7772108843537415,0.9875742841707186,0.8698548655722104,18537.5
0.17,515,24,1827,134,0.7801024765157984,0.9870340356564019,0.8714524207011686,18390.0
0.18,499,28,1823,150,0.7850990525409131,0.9848730415991356,0.8737119578241074,18400.0
0.19,486,29,1822,163,0.7894280762564991,0.984332793084819,0.876172156768454,18132.5
0.2,469,36,1815,180,0.7946584938704028,0.9805510534846029,0.8778718258766627,18480.0
0.21,459,40,1811,190,0.7977973568281939,0.9783900594273366,0.8789128852220335,18670.0
0.22,444,42,1809,205,0.8029294274300932,0.9773095623987034,0.881578947368421,18465.0
0.23,430,48,1803,219,0.8074339453649798,0.9740680713128039,0.8829578844270323,18780.0
0.24,418,59,1792,231,0.8108597285067873,0.9681253376553215,0.8825412459985226,19767.5
0.25,401,64,1787,248,0.81672760511883,0.9654240950837385,0.8848724931913841,19870.0
0.26,393,75,1776,256,0.8188105117565698,0.9594813614262561,0.8835820895522388,20977.5
0.27,385,86,1765,264,0.8209302325581396,0.9535386277687736,0.8822794301424643,22085.0
0.28,375,95,1756,274,0.8240262787423744,0.9486763911399244,0.8819688598694123,22887.5
0.29,366,100,1751,283,0.8271138403401039,0.9459751485683414,0.8825604838709677,23230.0
0.3,351,105,1746,298,0.8326180257510729,0.9432739059967585,0.8844984802431611,23392.5
0.31,342,113,1738,307,0.8355769230769231,0.9389519178822259,0.8842533706436021,24102.5
0.32,330,115,1736,319,0.8402710551790901,0.9378714208535927,0.8863926474342609,23987.5
0.33,322,119,1732,327,0.8432327166504382,0.9357104267963263,0.887067861715749,24237.5
0.34,314,127,1724,335,0.845927379784102,0.9313884386817937,0.8866032399074312,24977.5
0.35,306,138,1713,343,0.8484398216939079,0.9254457050243112,0.8852713178294573,26084.999999999996
0.36,294,144,1707,355,0.8530734632683659,0.9222042139384117,0.8862928348909658,26459.999999999996
0.37,284,153,1698,365,0.856710393541877,0.9173419773095624,0.885990086094443,27262.499999999996
0.38,280,161,1690,369,0.8578680203045685,0.9130199891950297,0.8845851871237895,28122.499999999996
0.39,269,170,1681,380,0.862051282051282,0.9081577525661805,0.8845040778742436,28894.999999999996
0.4,260,177,1674,389,0.8655635987590486,0.9043760129659644,0.8845442536327609,29482.499999999996
0.41,252,191,1660,397,0.8682008368200836,0.8968125337655322,0.8822747807600319,30957.499999999996
0.42,246,201,1650,403,0.870253164556962,0.8914100486223663,0.8807045636509208,32002.499999999996
0.43,241,215,1636,408,0.8716036228023442,0.8838465694219341,0.8776824034334764,33567.5
0.44,235,232,1619,414,0.8732470334412082,0.8746623446785521,0.8739541160593792,35470.0
